mz	count
302	3
303	1
304	1
305	1
306	2
307	2
308	5
309	3
310	2
311	2
312	11
313	4
314	6
315	1
316	4
317	5
318	2
319	4
320	3
321	4
322	9
323	10
324	4
325	8
326	8
327	8
328	6
329	1
330	7
331	5
332	6
333	11
334	10
335	5
336	4
337	10
338	7
339	8
340	5
341	16
342	13
343	9
344	4
345	11
346	12
347	12
348	19
349	12
350	12
351	12
352	17
353	15
354	5
355	8
356	16
357	14
358	15
359	14
360	7
361	16
362	16
363	13
364	22
365	21
366	19
367	21
368	19
369	13
370	12
371	14
372	12
373	16
374	21
375	16
376	26
377	22
378	23
379	35
380	23
381	29
382	21
383	24
384	33
385	30
386	43
387	34
388	26
389	33
390	36
391	24
392	32
393	27
394	38
395	30
396	28
397	40
398	26
399	43
400	34
401	44
402	44
403	25
404	49
405	42
406	49
407	34
408	58
409	49
410	41
411	41
412	50
413	52
414	56
415	44
416	50
417	51
418	36
419	50
420	65
421	41
422	63
423	54
424	48
425	47
426	46
427	70
428	67
429	66
430	44
431	49
432	46
433	69
434	65
435	69
436	63
437	74
438	59
439	53
440	59
441	66
442	75
443	58
444	49
445	54
446	51
447	61
448	68
449	83
450	69
451	77
452	54
453	73
454	56
455	84
456	68
457	87
458	71
459	74
460	80
461	81
462	104
463	90
464	95
465	84
466	82
467	68
468	89
469	76
470	103
471	96
472	78
473	93
474	73
475	100
476	90
477	100
478	98
479	78
480	85
481	106
482	83
483	100
484	102
485	104
486	91
487	104
488	77
489	94
490	99
491	114
492	111
493	115
494	114
495	102
496	89
497	89
498	107
499	129
500	118
501	113
502	103
503	91
504	122
505	114
506	98
507	126
508	107
509	96
510	120
511	127
512	118
513	112
514	113
515	104
516	141
517	103
518	87
519	117
520	114
521	146
522	107
523	125
524	132
525	114
526	118
527	126
528	133
529	146
530	118
531	100
532	120
533	134
534	135
535	108
536	119
537	147
538	126
539	134
540	118
541	143
542	137
543	154
544	137
545	145
546	133
547	103
548	146
549	135
550	158
551	140
552	127
553	142
554	135
555	141
556	169
557	140
558	160
559	141
560	171
561	148
562	138
563	141
564	154
565	157
566	155
567	137
568	148
569	135
570	133
571	154
572	138
573	145
574	170
575	161
576	145
577	181
578	183
579	158
580	174
581	190
582	146
583	156
584	178
585	191
586	176
587	170
588	147
589	164
590	150
591	162
592	171
593	166
594	152
595	156
596	155
597	177
598	130
599	207
600	159
601	180
602	147
603	162
604	149
605	177
606	174
607	182
608	181
609	165
610	187
611	184
612	173
613	172
614	160
615	175
616	165
617	164
618	155
619	170
620	199
621	197
622	174
623	176
624	180
625	165
626	159
627	168
628	169
629	170
630	201
631	174
632	200
633	199
634	184
635	160
636	203
637	184
638	174
639	174
640	238
641	185
642	216
643	201
644	155
645	169
646	196
647	170
648	158
649	190
650	162
651	173
652	199
653	187
654	191
655	209
656	190
657	169
658	187
659	178
660	172
661	188
662	182
663	165
664	178
665	189
666	194
667	223
668	185
669	190
670	161
671	234
672	201
673	199
674	174
675	178
676	215
677	172
678	175
679	180
680	186
681	217
682	161
683	210
684	183
685	220
686	197
687	184
688	197
689	186
690	175
691	178
692	223
693	213
694	199
695	208
696	168
697	206
698	205
699	187
700	205
701	195
702	178
703	163
704	177
705	214
706	202
707	184
708	197
709	191
710	193
711	190
712	200
713	158
714	185
715	187
716	172
717	182
718	169
719	208
720	207
721	211
722	184
723	186
724	180
725	210
726	205
727	203
728	203
729	207
730	194
731	217
732	177
733	192
734	200
735	188
736	171
737	201
738	194
739	201
740	195
741	156
742	192
743	214
744	204
745	192
746	186
747	219
748	201
749	196
750	190
751	212
752	204
753	192
754	207
755	222
756	176
757	213
758	181
759	196
760	150
761	202
