mz	count
762	192
763	168
764	193
765	206
766	186
767	196
768	166
769	223
770	155
771	206
772	157
773	216
774	195
775	191
776	197
777	189
778	193
779	174
780	192
781	192
782	187
783	178
784	190
785	206
786	173
787	175
788	164
789	164
790	180
791	216
792	164
793	181
794	215
795	174
796	156
797	179
798	185
799	185
800	190
801	209
802	149
803	194
804	198
805	186
806	207
807	170
808	203
809	149
810	174
811	179
812	183
813	168
814	173
815	160
816	164
817	165
818	178
819	188
820	171
821	190
822	178
823	163
824	191
825	186
826	162
827	165
828	180
829	196
830	175
831	195
832	160
833	144
834	174
835	179
836	153
837	182
838	157
839	170
840	159
841	164
842	191
843	156
844	166
845	166
846	148
847	167
848	171
849	170
850	151
851	150
852	144
853	167
854	177
855	186
856	167
857	148
858	130
859	162
860	144
861	165
862	161
863	139
864	156
865	153
866	150
867	172
868	182
869	153
870	185
871	161
872	181
873	152
874	191
875	147
876	166
877	146
878	170
879	163
880	141
881	170
882	151
883	147
884	143
885	146
886	129
887	116
888	168
889	141
890	129
891	160
892	178
893	154
894	177
895	162
896	158
897	165
898	169
899	157
900	178
901	129
902	150
903	90
904	158
905	106
906	138
907	168
908	147
909	125
910	148
911	166
912	133
913	149
914	170
915	127
916	149
917	119
918	190
919	149
920	127
921	140
922	153
923	133
924	125
925	129
926	152
927	133
928	121
929	158
930	131
931	131
932	135
933	138
934	136
935	144
936	133
937	139
938	134
939	135
940	136
941	161
942	148
943	121
944	160
945	115
946	158
947	155
948	153
949	158
950	134
951	138
952	149
953	156
954	112
955	151
956	119
957	127
958	164
959	138
960	126
961	139
962	152
963	120
964	113
965	119
966	130
967	137
968	145
969	136
970	150
971	134
972	125
973	139
974	124
975	117
976	120
977	137
978	128
979	106
980	108
981	132
982	126
983	126
984	112
985	124
986	133
987	111
988	126
989	138
990	140
991	121
992	133
993	137
994	125
995	102
996	97
997	107
998	120
999	97
1000	123
1001	84
1002	130
1003	102
1004	103
1005	114
1006	112
1007	122
1008	124
1009	99
1010	112
1011	121
1012	93
1013	95
1014	102
1015	78
1016	127
1017	102
1018	99
1019	116
1020	111
1021	127
1022	109
1023	102
1024	114
1025	114
1026	89
1027	111
1028	103
1029	90
1030	88
1031	103
1032	115
1033	80
1034	79
1035	70
1036	102
1037	79
1038	85
1039	108
1040	114
1041	117
1042	108
1043	106
1044	96
1045	115
1046	84
1047	124
1048	88
1049	106
1050	93
1051	77
1052	90
1053	104
1054	80
1055	96
1056	79
1057	97
1058	104
1059	88
1060	90
1061	90
1062	76
1063	98
1064	116
1065	89
1066	89
1067	107
1068	95
1069	88
1070	88
1071	82
1072	80
1073	75
1074	81
1075	70
1076	74
1077	96
1078	98
1079	54
1080	82
1081	99
1082	83
1083	65
1084	67
1085	67
1086	83
1087	83
1088	66
1089	81
1090	77
1091	83
1092	91
1093	89
1094	92
1095	62
1096	86
1097	45
1098	104
1099	90
1100	79
1101	84
1102	73
1103	70
1104	72
1105	76
1106	71
1107	54
1108	80
1109	75
1110	67
1111	57
1112	48
1113	71
1114	73
1115	65
1116	67
1117	69
1118	72
1119	76
1120	73
1121	67
1122	70
1123	88
1124	83
1125	80
1126	68
1127	80
1128	75
1129	79
1130	80
1131	63
1132	57
1133	72
1134	68
1135	47
1136	79
1137	73
1138	67
1139	64
1140	71
1141	73
1142	59
1143	60
1144	86
1145	72
1146	64
1147	51
1148	43
1149	65
1150	60
1151	78
1152	57
1153	63
1154	62
1155	74
1156	57
1157	71
1158	69
1159	55
1160	75
1161	43
1162	61
1163	79
1164	65
1165	70
1166	50
1167	77
1168	67
1169	76
1170	67
1171	52
1172	65
1173	66
1174	66
1175	55
1176	39
1177	65
1178	61
1179	57
1180	46
1181	59
1182	58
1183	51
1184	77
1185	59
1186	49
1187	50
1188	55
1189	45
1190	69
1191	68
1192	54
1193	53
1194	60
1195	46
1196	69
1197	57
1198	47
1199	49
1200	46
1201	51
1202	31
1203	54
1204	56
1205	56
1206	47
1207	49
1208	44
1209	73
1210	80
1211	47
1212	39
1213	58
1214	55
1215	44
1216	35
1217	69
1218	45
1219	48
1220	46
1221	38
1222	35
1223	47
1224	40
1225	35
1226	57
1227	42
1228	41
1229	31
1230	49
1231	57
1232	43
1233	27
1234	41
1235	58
1236	49
1237	54
1238	54
1239	46
1240	41
1241	45
1242	35
1243	51
1244	40
1245	34
1246	48
1247	37
1248	30
1249	39
1250	26
1251	45
1252	22
1253	26
1254	29
1255	27
1256	29
1257	25
1258	35
1259	28
1260	23
1261	14
1262	35
1263	25
1264	29
1265	36
1266	27
1267	29
1268	22
1269	29
1270	41
1271	24
1272	30
1273	36
1274	18
1275	23
1276	22
1277	26
1278	22
1279	26
1280	16
1281	31
1282	27
1283	32
1284	34
1285	21
1286	20
1287	16
1288	16
1289	29
1290	24
1291	36
1292	31
1293	24
1294	25
1295	16
1296	38
1297	35
1298	18
1299	23
1300	17
1301	24
1302	15
1303	20
1304	15
1305	18
1306	26
1307	34
1308	23
1309	20
1310	25
1311	12
1312	18
1313	16
1314	25
1315	26
1316	26
1317	21
1318	16
1319	19
1320	20
1321	14
1322	27
1323	17
1324	18
1325	13
1326	25
1327	17
1328	7
1329	18
1330	24
1331	17
1332	23
1333	27
1334	12
1335	17
1336	18
1337	22
1338	29
1339	22
1340	23
1341	23
1342	21
1343	28
1344	18
1345	18
1346	22
1347	17
1348	16
1349	17
1350	16
1351	9
1352	17
1353	14
1354	8
1355	16
1356	19
1357	21
1358	26
1359	17
1360	22
1361	24
1362	20
1363	19
1364	13
1365	9
1366	26
1367	21
1368	13
1369	24
1370	15
1371	16
1372	25
1373	22
1374	12
1375	11
1376	18
1377	22
1378	23
1379	14
1380	13
1381	16
1382	9
1383	15
1384	12
1385	8
1386	16
1387	16
1388	16
1389	18
1390	15
1391	18
1392	12
1393	18
1394	18
1395	9
1396	18
1397	16
1398	14
1399	16
1400	15
1401	15
1402	12
1403	10
1404	16
1405	7
1406	14
1407	11
1408	9
1409	18
1410	11
1411	15
1412	15
1413	20
1414	8
1415	9
1416	6
1417	11
1418	14
1419	30
1420	17
1421	18
1422	14
1423	12
1424	12
1425	8
1426	10
1427	8
1428	13
1429	14
1430	11
1431	13
1432	12
1433	5
1434	6
1435	8
1436	23
1437	12
1438	8
1439	16
1440	11
1441	10
1442	21
1443	16
1444	9
1445	3
1446	9
1447	6
1448	10
1449	13
1450	4
1451	17
1452	20
1453	16
1454	11
1455	8
1456	12
1457	18
1458	7
1459	9
1460	8
1461	7
1462	7
1463	9
1464	10
1465	13
1466	5
1467	7
1468	11
1469	17
1470	10
1471	9
1472	9
1473	5
1474	10
1475	11
1476	11
1477	4
1478	7
1479	9
1480	6
1481	5
1482	8
1483	10
1484	6
1485	8
1486	3
1487	5
1488	4
1489	9
1490	13
1491	5
1492	12
1493	7
1494	11
1495	4
1496	8
1497	14
1498	8
1499	7
1500	8
