mz	count
1079	72
1080	61
1081	59
1082	72
1083	59
1084	72
1085	51
1086	77
1087	77
1088	49
1089	67
1090	63
1091	76
1092	55
1093	51
1094	66
1095	65
1096	71
1097	77
1098	64
1099	58
1100	67
1101	53
1102	89
1103	63
1104	57
1105	61
1106	54
1107	58
1108	49
1109	55
1110	60
1111	46
1112	62
1113	60
1114	60
1115	61
1116	49
1117	57
1118	53
1119	45
1120	56
1121	41
1122	64
1123	70
1124	45
1125	48
1126	47
1127	55
1128	67
1129	47
1130	51
1131	69
1132	54
1133	41
1134	56
1135	55
1136	52
1137	52
1138	51
1139	46
1140	45
1141	62
1142	40
1143	56
1144	46
1145	40
1146	50
1147	46
1148	41
1149	40
1150	42
1151	42
1152	42
1153	38
1154	47
1155	45
1156	45
1157	53
1158	45
1159	52
1160	33
1161	29
1162	42
1163	51
1164	41
1165	38
1166	51
1167	53
1168	44
1169	41
1170	50
1171	24
1172	40
1173	33
1174	30
1175	41
1176	33
1177	49
1178	36
1179	39
1180	31
1181	29
1182	27
1183	33
1184	32
1185	25
1186	37
1187	42
1188	35
1189	38
1190	26
1191	39
1192	37
1193	34
1194	35
1195	32
1196	33
1197	32
1198	30
1199	33
1200	31
1201	41
1202	32
1203	26
1204	19
1205	33
1206	26
1207	24
1208	25
1209	28
1210	33
1211	23
1212	26
1213	29
1214	32
1215	24
1216	29
1217	31
1218	24
1219	24
1220	30
1221	22
1222	25
1223	41
1224	26
1225	16
1226	21
1227	26
1228	34
1229	25
1230	24
1231	30
1232	29
1233	36
1234	33
1235	20
1236	20
1237	30
1238	31
1239	21
1240	24
1241	19
1242	28
1243	15
1244	29
1245	19
1246	25
1247	25
1248	25
1249	18
1250	27
1251	29
1252	24
1253	21
1254	23
1255	22
1256	14
1257	18
1258	25
1259	21
1260	17
1261	10
1262	20
1263	21
1264	15
1265	23
1266	17
1267	17
1268	18
1269	19
1270	25
1271	15
1272	17
1273	18
1274	18
1275	11
1276	15
1277	14
1278	14
1279	12
1280	17
1281	13
1282	23
1283	12
1284	16
1285	11
1286	13
1287	17
1288	23
1289	12
1290	8
1291	18
1292	23
1293	11
1294	12
1295	18
1296	14
1297	9
1298	10
1299	15
1300	23
1301	17
1302	14
1303	19
1304	13
1305	19
1306	18
1307	10
1308	8
1309	18
1310	9
1311	10
1312	16
1313	15
1314	18
1315	15
1316	11
1317	19
1318	16
1319	12
1320	7
1321	5
1322	14
1323	15
1324	11
1325	9
1326	8
1327	11
1328	15
1329	13
1330	13
1331	12
1332	14
1333	20
1334	12
1335	11
1336	14
1337	12
1338	9
1339	10
1340	12
1341	16
1342	10
1343	13
1344	16
1345	9
1346	5
1347	13
1348	9
1349	14
1350	5
1351	8
1352	9
1353	12
1354	16
1355	10
1356	4
1357	8
1358	6
1359	7
1360	5
1361	10
1362	7
1363	13
1364	12
1365	11
1366	1
1367	12
1368	9
1369	6
1370	15
1371	7
1372	9
1373	7
1374	13
1375	10
1376	6
1377	8
1378	8
1379	6
1380	9
1381	7
1382	8
1383	8
1384	9
1385	13
1386	9
1387	8
1388	7
1389	2
1390	7
1391	7
1392	8
1393	6
1394	10
1395	7
1396	8
1397	8
1398	6
1399	6
1400	3
1401	4
1402	6
1403	4
1404	7
1405	5
1406	4
1407	6
1408	4
1409	2
1410	7
1411	7
1412	4
1413	5
1414	6
1415	3
1416	5
1417	8
1418	4
1419	5
1420	2
1421	6
1422	7
1423	3
1424	5
1425	6
1426	7
1427	7
1428	5
1429	3
1430	5
1431	3
1432	5
1433	4
1434	6
1435	4
1436	11
1437	3
1438	4
1439	9
1440	6
1441	7
1442	6
1443	4
1444	4
1445	9
